Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
107295-92904,QB,Rocky,Rocky Lombardi,Lombardi,,0,6000,CIN@CAR,CIN,CAR,,,,,,QB
107295-86775,QB,Jacob,Jacob Sirmon,Sirmon,,0,6000,CLE@LV,CLE,LV,,,,,,QB
107295-152316,QB,Drake,Drake Maye,Maye,2.0799999237060547,1,6000,NE@SF,NE,SF,,,,,,QB
107295-92937,QB,Jordan,Jordan Travis,Travis,,0,6000,DEN@NYJ,NYJ,DEN,IR,Ankle,,,,QB
107295-86793,QB,Jake,Jake Haener,Haener,-0.15000000596046448,2,6000,NO@ATL,NO,ATL,,,,,,QB
107295-92975,QB,Malik,Malik Cunningham,Cunningham,0,1,6000,BUF@BAL,BAL,BUF,,,,,,QB
107295-119606,QB,Bryce,Bryce Young,Young,7.300000190734863,2,6000,CIN@CAR,CAR,CIN,,,,,,QB
107295-90981,QB,Adrian,Adrian Martinez,Martinez,,0,6000,DEN@NYJ,NYJ,DEN,,,,,,QB
107295-88937,QB,Carter,Carter Bradley,Bradley,,0,6000,CLE@LV,LV,CLE,,,,,,QB
107295-56192,QB,John,John Wolford,Wolford,0,1,6000,PHI@TB,TB,PHI,,,,,,QB
107295-29605,QB,Matt,Matt Barkley,Barkley,-0.30000001192092896,1,6000,JAC@HOU,JAC,HOU,,,,,,QB
107295-93103,QB,E.J.,E.J. Perry,Perry,,0,6000,JAC@HOU,JAC,HOU,,,,,,QB
107295-111557,QB,Spencer,Spencer Rattler,Rattler,,0,6000,NO@ATL,NO,ATL,,,,,,QB
107295-56286,QB,Trace,Trace McSorley,McSorley,,0,6000,WAS@ARI,WAS,ARI,,,,,,QB
107295-152575,QB,J.J.,J.J. McCarthy,McCarthy,,0,6000,MIN@GB,MIN,GB,IR,Knee - meniscus,,,,QB
107295-89147,QB,John,John Paddock,Paddock,,0,6000,NO@ATL,ATL,NO,,,,,,QB
107295-152664,RB,Bucky,Bucky Irving,Irving,6.900000254313151,3,6000,PHI@TB,TB,PHI,Q,Hamstring,,,,RB/FLEX
107295-52342,QB,Will,Will Grier,Grier,0,2,6000,PHI@TB,PHI,TB,,,,,,QB
107295-169087,QB,Austin,Austin Reed,Reed,,0,6000,LAR@CHI,CHI,LAR,,,,,,QB
107295-93382,QB,Aidan,Aidan O'Connell,O'Connell,7.28000020980835,1,6000,CLE@LV,LV,CLE,,,,,,QB
107295-52436,TE,Mark,Mark Andrews,Andrews,3.1666666666666665,3,6000,BUF@BAL,BAL,BUF,,,,,,TE/FLEX
107295-54507,QB,Alex,Alex McGough,McGough,,0,6000,MIN@GB,GB,MIN,Q,Undisclosed,,,,QB
107295-93428,QB,Jack,Jack Plummer,Plummer,,0,6000,CIN@CAR,CAR,CIN,,,,,,QB
107295-91390,QB,Joe,Joe Milton III,Milton III,,0,6000,NE@SF,NE,SF,,,,,,QB
